X,Y,Z,Yaw,Pitch,Roll
-37.54,-32.36,50.87,34.13166370255438,-13.361243595308643,121.78013165019959
-37.48222222222222,-32.02333333333333,50.31777777777778,33.911342950652624,-13.598655161204116,121.34896919403973
-37.42444444444445,-31.686666666666667,49.76555555555555,33.69102219875088,-13.83606672709959,120.91780673787987
-37.36666666666667,-31.35,49.21333333333333,33.470701446849134,-14.073478292995064,120.48664428172
-37.30888888888889,-31.013333333333332,48.66111111111111,33.25038069494738,-14.310889858890537,120.05548182556015
-37.251111111111115,-30.676666666666666,48.108888888888885,33.03005994304563,-14.548301424786011,119.62431936940028
-37.193333333333335,-30.339999999999996,47.556666666666665,32.80973919114388,-14.785712990681484,119.19315691324041
-37.135555555555555,-30.00333333333333,47.004444444444445,32.58941843924213,-15.023124556576956,118.76199445708055
-37.07777777777778,-29.666666666666664,46.45222222222222,32.369097687340386,-15.26053612247243,118.3308320009207
-37.02,-29.33,45.9,32.14877693543863,-15.497947688367905,117.89966954476083
-36.861111111111114,-28.94333333333333,45.33555555555555,31.90607819047286,-15.876628367552271,117.92048286424533
-36.702222222222225,-28.556666666666665,44.77111111111111,31.66337944550709,-16.255309046736638,117.94129618372983
-36.54333333333334,-28.17,44.20666666666666,31.420680700541322,-16.63398972592101,117.96210950321435
-36.38444444444445,-27.78333333333333,43.642222222222216,31.177981955575547,-17.012670405105375,117.98292282269885
-36.22555555555556,-27.39666666666667,43.07777777777778,30.93528321060978,-17.39135108428974,118.00373614218336
-36.06666666666667,-27.01,42.513333333333335,30.692584465644003,-17.77003176347411,118.02454946166786
-35.90777777777778,-26.623333333333335,41.94888888888889,30.449885720678235,-18.148712442658475,118.04536278115236
-35.74888888888889,-26.236666666666668,41.38444444444444,30.20718697571246,-18.52739312184284,118.06617610063687
-35.59,-25.85,40.82,29.964488230746692,-18.906073801027212,118.08698942012138
-35.43555555555555,-25.48777777777778,40.27444444444444,29.87565607372638,-19.23908462368151,117.96091138240793
-35.281111111111116,-25.125555555555557,39.72888888888889,29.78682391670607,-19.57209544633581,117.83483334469452
-35.12666666666667,-24.763333333333335,39.18333333333334,29.69799175968576,-19.90510626899011,117.70875530698108
